Nama Pengulas,Ulasan,Rating
Jan Wong,"Akhirnya saya mengunjungi kedai kopi ini! Kopinya lumayan enak, terutama untuk harga yang dibayarkan. Bahkan lebih baik daripada kopi di beberapa hotel. … Lainnya",5 bintang
Marisa Sirait,"Tempatnya sangat luas, lebih baik untuk dibawa pulang, lokasinya dekat dengan pintu masuk eskalator. Lainnya",4 bintang
Bunga Simangunsong,"Sebenarnya ini pertama kalinya aku datang ke Kopi Kenangan. Aku memilih tempat ini karena dekat dengan lobi. 😆
Karena aku tidak tahu mau pesan apa, aku bertanya pada kasir minuman favorit di … Lainnya",5 bintang
Maria Alexander,"Saya suka Kopi Kenangan, terutama di sini kita bisa duduk dan menikmati waktu sambil bekerja atau bersantai ☺
Kopinya enak dan harganya juga terjangkau, banyak promo juga 👏 …",5 bintang
R Tn,"Kopinya enak, tempatnya nyaman untuk nongkrong, harga kopinya wajar, dan pelayanannya bagus dari para staf.",4 bintang
Falen,"Pelayanannya ramah, kopinya sempurna. Saya sangat menyukai rasa kopinya. Yang terpenting, harganya ramah untuk sebuah kopi di mal. Kedai kopi ini juga menawarkan banyak promo. Anda juga dapat menikmati wifi gratis untuk bekerja, dll. Koneksi internetnya cukup stabil untuk menangani pekerjaan Anda atau aktivitas lainnya.",5 bintang
Adam Zidane,"👍 …
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Chris,"Dapatkan pemandangan eksklusif di dalam kedai kopi ini. Seperti yang Anda lihat, kedai kopi ini terletak di Neo Soho Mall dan Anda juga bisa menikmati pemandangannya. Ada banyak kedai baru di sekitar sini. Tempat yang direkomendasikan untuk menikmati kopi 👍 …",4 bintang
Arlene Nettya Ibrahim,"kopi dan teh Thailand favoritku
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Philip Thomas,"Staf perlu dilatih.

Pesanan salah. Sangat lambat. Tidak tahu bagaimana menangani pengalaman buruk … Lainnya",1 bintang
Andrew Kurniawan,,5 bintang
sinaga,Lebih baik mendapatkan tembakan ganda.,5 bintang
JOHAN MOHAMMAD,"Barista tidak sopan. Saya memutuskan untuk tidak datang lagi. Ke mana pun
Layanan: 1",1 bintang
Christian Lie,"Harga kopi di mal cukup terjangkau dan ramah di kantong, namun lokasinya agak sulit ditemukan.",4 bintang
Andee Sanjaya Kurniawan,Tempat yang bagus untuk berbagi dan rasanya enak..,5 bintang
Nicholas Patrick,"Bagus
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Yunita,,5 bintang
Kathleen Lee,,5 bintang
Suwisan Djong,kopi berkualitas baik,4 bintang
Sony Jocom (SJ),nyaman,5 bintang
Bernard,tempat yang bagus untuk bersantai dan bekerja dengan kopi yang terjangkau,4 bintang
Danny Torino,Enak lah,5 bintang
TALITHA UMAYA,Bertemu mantan dengan gadis lain di sini,5 bintang
nicke santoso,"Tempat yang bagus, cukup ramai.",4 bintang
Christine DJ,Tempat yang luar biasa...,5 bintang
Bagus Hariyanto,Pelayanan ramah dan cepat tanggap,5 bintang
Hegun,Nikmati kopi dan suasana yang nyaman,5 bintang
Kamal Firdaus,,5 bintang
andreas budiyanto darmadi,,5 bintang
Harshada Kawadkar,,5 bintang
Alfalah Aderia01,,5 bintang
Triaji Rachman,,5 bintang
yamin halim,Sepertinya daerah itu...,4 bintang
Michael Kurniawan,Oke,4 bintang
Ramdhani Azhari,Bagus,5 bintang
노영태,Merek kopi Indonesia.,4 bintang
William,,5 bintang
Reinasya Malik,Goodlah,5 bintang
Hengky Manutd,"Pelayanan yang baik
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Fanuel Victor,,5 bintang
Assed Lussak,,5 bintang
Bert Tanuwijaya,,5 bintang
Riandy Saputra,,5 bintang
Hengky Setiawan,,5 bintang
Hendry Surya,,4 bintang
joana tampi,,5 bintang
Sims Widjaja,Tempat yang bagus!,5 bintang
Christian Hadi,Kopi yang enak.,5 bintang
Arnoldyth Rodes Medo,Tempat yang nyaman,5 bintang
Margreth Angelique,Titik temu,5 bintang
Muhamad Iqbal Maulana,,5 bintang
mrs. akabane,,5 bintang
Naisya Azzahra,"sangat bagus
Makanan: 5
Layanan:…
Lainnya",5 bintang
sha,"Nyaman dan pemandangannya sangat bagus 😻 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Nanda Erlanda,,5 bintang
Emma,,5 bintang
Lil’Li Latisha,,5 bintang
Silvia Angelina,,5 bintang
Gerald Halim,,5 bintang
Trisya Tia,,5 bintang
Benedictus Sandi,"Tempat yang ramah bagi WFC
Makanan: 5…
Lainnya",5 bintang
Berlyan Aurin Tandrianto,,5 bintang
Fathia Zahra Zabidi,,5 bintang
