Nama Pengulas,Ulasan,Rating
Elan Mahatma Kushardian (Elan),"Parkiran luas, tapi tempat duduk kurang cozy. Smoking area luas
Jenis makanan…
Lainnya",4 bintang
astrid siska,"Okeee buat ngopi2 cantik dan hang out sama teman atau keluarga
Jenis pesanan…
Lainnya",5 bintang
Ferris Zulfa Ibrahim,"Mungkin stop kontak dapat diperbanyak
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
M Basyrul,"Barista komunikatif, cepat, parkir luas.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Bram,"drive thru nya cukup lama, tempatnya oke
Jenis pesanan
Bawa pulang",3 bintang
lovanto oetomo,takaran kopi pas untuk outlet ini. ada drive thru nya.👍 …,5 bintang
Terry Tirmidzi,"Satu2nya toko kopi yg bisa drive thru
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Sofyan Hidayat,"Jalan jalan jadi lebih asik, sambil ngopi, beli tanpa turun ke oleh 🥰 …",5 bintang
anita silvia,"Security dan pegawainya ramah, pelayanan cepat, kopi oke
Jenis pesanan
B…
Lainnya",5 bintang
Husen,"Cocok untuk nongkrong, vibes oke.
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
Haris Fikri,"Ordernya jelas NO SUGAR, datengnya MANIS... byeee",1 bintang
dede supriatna,"Karyawannya kurang menghargai tolong di yraning kembali
Layanan: 1",1 bintang
jae lani,"Enak nyaman adem walau parkiran agak minimalis
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
maunk lawas,👍👍👍 …,4 bintang
Izuddin Anzu,lama sekali ketika Drive true,1 bintang
Edhi Sebayang,"Drive thru americano kopi kenangan
Jenis pesanan
Bawa pulang…
Lainnya",4 bintang
Fake Job,Ini satpam ada biaya parkir ga seh.? Bingung,5 bintang
agus setiawan,"Lokasi strategis pinggir jalan utama
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
"Andi SH,MH, Mediator","Tempat ya. Worth it banget. Santai
Makanan: 5…
Lainnya",5 bintang
Bergson Manik,"Tetap semangat buat Ricky dan Putra team...👍👍 …
Jenis pesanan
Bawa pulan…
Lainnya",5 bintang
Ahmad Sofian,"Ngantuk..? Ngopi aja dulu
Layanan: 5",5 bintang
Mochammad Soleh,"Terjangkau
Jenis pesanan
Pesan antar…
Lainnya",5 bintang
teddy rachmayadi,satpamnya gercep & tempatnya gk sumpek 👍🏼 …,5 bintang
Kamil Agung Nurdiyansah,"bagus tempatnya
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
ODONG ODONG,"Lebih ditingkatkan lagi utk online ya terimakasih 🙏 …
Layanan: 4…
Lainnya",4 bintang
Rudy Permana,Nyaman untuk mengobrol sambil ngopi disini,5 bintang
Dave Febio,"Ok mantap
Makanan: 4
Layanan:…
Lainnya",4 bintang
Iwan Juniar,"Always like the authentic Kopi Kenangan Mantan!
Jenis pesanan
Bawa pulan…
Lainnya",5 bintang
Nas Pakaya,Bagus,5 bintang
Sapi Abang,"Pelayanan lelet pol
Layanan: 1
Suasana:…
Lainnya",1 bintang
Syarif siradjudin al rusdy,tempatnya bagus pelayanan mantap,5 bintang
Boby Santoso,Cepet layanan nya,5 bintang
Is,"Tersedia eskrim di outlet ini.
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Supardi Ardi,"Enak tempnya nyamn lagi
Makanan: 5…
Lainnya",5 bintang
Bejo Aku,"Mayan dkt
Makanan: 4
Layanan:…
Lainnya",4 bintang
Evil Mââ Dy,"pelayanan buruk, ga sopan",1 bintang
uli novianti,"Cepat dan bagus
Makanan: 5
Layanan:…
Lainnya",5 bintang
careullaine novia_,Tempat Fav🩷 …,5 bintang
Isa Idris,"Keren...
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Aja Ardy,"Cocok untuk anak muda
Makanan: 5
Layanan:…
Lainnya",5 bintang
Arjuna Tangsel Tangsel,Karena tempat ini kantor kami bekerja,5 bintang
Asep Seva,"Parkir luas
Layanan: 5
Suasana:…
Lainnya",5 bintang
Dody Ruspandi,"Tmptnya asik buat kongkow""
Makanan: 5…
Lainnya",5 bintang
Ryo Raven,"Terbaik
Jenis pesanan
Makan di tempat",5 bintang
Mulyadi Adi,"Pas untuk yang buru buru
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Bobby Saputro,"Cukup nyaman
Makanan: 4
Layanan:…
Lainnya",4 bintang
Haris 12,"Mantap
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Ananda SitiAisyahh,"Mantap n nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
Dahlan Consultant,"Parkir Mobil agak susah
Makanan: 5…
Lainnya",5 bintang
Fernanda,Strategis tempatnya,5 bintang
Yayat Sunaryat,Tempat nya asik....,5 bintang
olviond diannovra,"Cepat dan efisien
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
oboy_ can,securty nya sopan,5 bintang
Gery Gery,Mantap.,5 bintang
